n_components,explained_variance,required_by_brief,macro_f1_k2,macro_f1_k5,macro_f1_k15,macro_f1_k31
2000,0.7781586336115107,True,0.42592857806403667,0.46457964768299326,0.4962037594487926,0.6059967999448465
1000,0.5719344631036954,True,0.49620516658675495,0.5674008397592077,0.5722467079902002,0.596067000701659
500,0.3946561845129527,True,0.573346493343353,0.6276510668244778,0.6204559171734992,0.6201046183844332
100,0.15933530608053467,True,0.6511066332304007,0.6699826238677176,0.6789493448590198,0.6821043718426134
50,0.11006255124845904,False,0.6456587627027991,0.6706289629313498,0.6766663009988019,0.6712920769499302
20,0.06837466223695819,False,0.6399630535902348,0.6603260869565217,0.6698019138411846,0.6732416330608316
10,0.04594176494722572,False,0.6141288480299654,0.6490318145697855,0.6558571702971028,0.665934065934066
5,0.02956929611170568,False,0.5907105209670369,0.6004431095636518,0.6188313811330037,0.6114698314214944
2,0.015946402553003912,False,0.5368327966395869,0.5460496499394301,0.5373266906113622,0.5233537918516502
