model,trial,mean_macro_f1,fold_std,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,num_leaves,min_child_samples,C,n_estimators,min_samples_leaf,max_features,alpha
xgboost,0,0.7085185661757476,0.011976236204936545,7.0,0.240255072412538,1.19441179422103,0.8799654723743848,0.3057545698328963,7.847022201693722,0.008790767735507698,5.129579987171925e-07,,,,,,,
xgboost,1,0.6845412593852332,0.020879114528029822,6.0,0.07369512858703793,21.301691835024105,0.9442082103545426,0.27737416529842485,9.827080559656999,1.2869084754622186e-05,0.00448289635232611,,,,,,,
xgboost,2,0.6410184682041722,0.008305705120235252,8.0,0.04893367306371105,29.968413606927058,0.609955856203008,0.43976978961797797,1.5193316452755328,8.571018290597655,0.0025375771318199335,,,,,,,
xgboost,3,0.702801325305273,0.019067163983958114,7.0,0.10723771731196079,1.4497978927031712,0.7614035445901202,0.5152139101581893,8.112673260145247,3.779475100261286e-06,3.4472915295509194,,,,,,,
xgboost,4,0.6938052759910172,0.016578630396562218,8.0,0.11267404315195814,5.372578172817207,0.6468920274323613,0.664444695037222,71.50558983787423,0.0845648874993444,0.42730273583370304,,,,,,,
xgboost,5,0.6684763925285695,0.007971537783195178,6.0,0.027821935815978718,22.135665792197656,0.6031033885025316,0.7805136931974586,7.923229869714912,0.0022124011092098804,3.1442846837669113e-08,,,,,,,
xgboost,6,0.6707261824537527,0.007790224857836045,6.0,0.037788144086020825,23.390506422547723,0.679059004618363,0.5688891069471096,7.169234931770348,0.1662341926817669,4.002200669309593e-05,,,,,,,
xgboost,7,0.6830830522656592,0.012597480538284406,7.0,0.03184675112026921,18.88039604335815,0.7139615000507542,0.4293792517248609,26.954942463226576,0.07919691474302443,1.5359827615280237,,,,,,,
xgboost,8,0.6967965286036948,0.014895094526600764,5.0,0.07860083748854223,9.9366688143019,0.8982200130514942,0.34958363498718326,21.649929267075933,4.7223277197883284e-07,0.004492805282296457,,,,,,,
xgboost,9,0.7123404381266379,0.010287562253431087,8.0,0.06106152100919074,3.842808926283585,0.7575087172039224,0.6745247927435118,1.009329587414398,0.00670760320600673,1.9250896604381689,,,,,,,
lightgbm,0,0.7044245130440021,0.009029312687127729,,0.240255072412538,,0.8799654723743848,0.3057545698328963,7.847022201693722,0.008790767735507698,,106.0,5.0,,,,,
lightgbm,1,0.7101800083219239,0.005966888150711056,,0.08987331125972756,,0.9316764927109997,0.7232862892374962,1.2575996831250216,0.0002923548637193978,,23.0,25.0,,,,,
lightgbm,2,0.6921691041940824,0.017979380640117396,,0.10512367815653109,,0.7416990694814967,0.7569504694409629,1.1214483622002844,1.274453018105474e-05,,33.0,89.0,,,,,
lightgbm,3,0.7025134975407867,0.009327498595547093,,0.2453454874461172,,0.8967411394962772,0.6156860235838382,1.5899192254607304,4.281340343486979e-05,,18.0,36.0,,,,,
lightgbm,4,0.7149414804427553,0.013592657458649009,,0.06304716097331702,,0.9969969063623275,0.7764196845461617,23.38434482088143,0.00012647265418366007,,46.0,12.0,,,,,
lightgbm,5,0.6927285889070862,0.018186486091496975,,0.13415009046893875,,0.907875114464107,0.737895297709473,21.214157006794867,1.5004719440753726e-07,,19.0,95.0,,,,,
lightgbm,6,0.6915405951434319,0.019782610009552972,,0.020395781018486152,,0.7797804511828075,0.5766305696827039,1.3051939441986773,0.003676970683920373,,109.0,107.0,,,,,
lightgbm,7,0.7039817915929909,0.013196776726094196,,0.17313861536090205,,0.8319193505069888,0.48525502335597565,40.23504803329399,5.874147594963076e-05,,27.0,9.0,,,,,
lightgbm,8,0.6958524173188778,0.01928425268726735,,0.03184675112026921,,0.7139615000507542,0.4293792517248609,26.954942463226576,0.07919691474302443,,74.0,62.0,,,,,
lightgbm,9,0.7068213568214115,0.012294897894350898,,0.06195761841532422,,0.8489896309941373,0.6600525179458047,2.3020900567987055,0.010222430536037035,,143.0,27.0,,,,,
logreg,0,0.683264716757178,0.004853499861823621,,,,,,,,,,,7.624550812516509,,,,
logreg,1,0.6737785423325232,0.007366895462725143,,,,,,,,,,,42.16958315906806,,,,
logreg,2,0.6493554355528643,0.000799319791636098,,,,,,,,,,,0.0016838332951327449,,,,
logreg,3,0.6961116585661411,0.005947922934199984,,,,,,,,,,,1.944793043366918,,,,
logreg,4,0.6598410364992702,0.003097561871419599,,,,,,,,,,,0.002994633851355499,,,,
logreg,5,0.7152225282585596,0.006637955725912551,,,,,,,,,,,0.12650150725847492,,,,
logreg,6,0.7003809373745853,0.005358822687640423,,,,,,,,,,,1.2688860690814026,,,,
logreg,7,0.6746034327012607,0.00693484421941249,,,,,,,,,,,0.008593122832000248,,,,
logreg,8,0.7089315211017033,0.006702107691905462,,,,,,,,,,,0.624636099525192,,,,
logreg,9,0.7128379689179625,0.005878314425146313,,,,,,,,,,,0.26692904946345686,,,,
linsvc,0,0.6844384483176446,0.005723275401734138,,,,,,,,,,,2.0171415031085314,,,,
linsvc,1,0.6811625655905272,0.006434710304597685,,,,,,,,,,,8.650324843834849,,,,
linsvc,2,0.6758022093794362,0.007110327527252419,,,,,,,,,,,0.0015582501903394184,,,,
linsvc,3,0.6893041823030728,0.004538755967866149,,,,,,,,,,,0.6304559151011249,,,,
linsvc,4,0.6872928806171548,0.007936398406714099,,,,,,,,,,,0.002543828218459168,,,,
linsvc,5,0.7078380760740575,0.007842584167071917,,,,,,,,,,,0.0615757574338742,,,,
linsvc,6,0.6927129339053497,0.0060900018303875125,,,,,,,,,,,0.438318389129989,,,,
linsvc,7,0.703732866016097,0.008965760013819792,,,,,,,,,,,0.006240169840651902,,,,
linsvc,8,0.6967467747032131,0.006539023831284416,,,,,,,,,,,0.23976103952902514,,,,
linsvc,9,0.7023474936453703,0.006586220262554804,,,,,,,,,,,0.11627072482666526,,,,
rforest,0,0.6929942928286998,0.02039407232136112,40.0,,,,,,,,,,,600.0,1.0,0.2859671987556656,
rforest,1,0.68236030245888,0.010902522656610156,22.0,,,,,,,,,,,200.0,8.0,0.09554365896632741,
rforest,2,0.6879630601876645,0.016010454684974872,25.0,,,,,,,,,,,400.0,10.0,0.34699779983681556,
rforest,3,0.6856250606414761,0.017087015930333176,24.0,,,,,,,,,,,200.0,5.0,0.26966023340061274,
rforest,4,0.6745600690449782,0.010618049487284266,19.0,,,,,,,,,,,600.0,12.0,0.029458063392857586,
